번호,노선명,사업구간,사업내용,연장(km),총사업비(억원),사업기간,구분
1,경전선,보성~임성리,단선전철,82.5,16451,2002~2026,공사중
2,동해선,포항~삼척,단선철도,166.3,34289,2002~2024,공사중
3,경전선,부전~마산,복선전철[BTL],32.7,15484,2004~2024,공사중
4,평택선,포승~평택,단선철도,30.3,7091,2004~2030,공사중
5,서해선,송산~홍성,복선전철,90,40937,2009~2027,공사중
6,중부내륙선,이천~문경,단선전철,93.2,25504,2005~2026,공사중
7,장항선,"신성~주포, 남포~간치",단선개량,33,9947,2010~2027,공사중
8,중앙선,도담~영천,복선전철화,145.1,43352,2010~2025,공사중
9,장항선,신창~대야,복선전철화,118.6,8396,2018~2027,공사중
10,동해선,포항~동해,단선전철화,172.8,4390,2019~2024,공사중
11,월곶판교선,월곶~판교,복선전철,34.2,28667,2015~2027,공사중
12,인덕원동탄선,인덕원~동탄,복선전철,39,40732,2015~2028,공사중
13,춘천속초선,춘천~속초,단선전철,93.7,30131,2016~2027,공사중
14,동해북부선,강릉~제진,단선전철,111.7,34797,2021~2027,공사중
15,경강선,여주~원주,복선전철,22,9348,2014~2027,공사중
16,경부선/충북선,천안~청주공항,복선전철,57,5122,2014~2029,설계중
17,남부내륙선,김천~거제,단선철도,177.9,49438,2020~2027,설계중
18,대구산업선,서대구~대구국가산단,단선전철,36.4,15511,2020~2027,설계중
19,석문산단 인입철도,합덕~석문산단,단선전철,31.2,10719,2020~2027,설계중
20,경강선,수서~광주,복선전철,19.4,11233,2020~2030,설계중
21,경전선,광주송정~순천,단선전철,121.5,21520,2023~2030,설계중
22,충북선,청주공항~봉양,기존선 고속화,85.5,19058,2023~2031,설계중
