계약명,계약차수,공정년월,월공정계획율(퍼센트),월공정실적율(퍼센트),보고번호,계약체결일자,계약금액(원),착공일자,준공일자
인천신항 진입도로 및 호안축조공사(1공구) 전면책임감리용역,1,2008-06-01,73.09,73.09,3000998,2007-12-07,1152000000,2007-12-12,2008-09-29
인천신항 진입도로 및 호안축조공사(1공구) 전면책임감리용역,1,2008-05-01,64.06,64.06,3000997,2007-12-07,1152000000,2007-12-12,2008-09-29
인천신항 진입도로 및 호안축조공사(1공구) 전면책임감리용역,1,2008-04-01,54.6,54.6,3000996,2007-12-07,1152000000,2007-12-12,2008-09-29
인천신항 진입도로 및 호안축조공사(1공구) 전면책임감리용역,1,2008-03-01,45.52,45.52,3000995,2007-12-07,1152000000,2007-12-12,2008-09-29
인천신항 진입도로 및 호안축조공사(1공구) 전면책임감리용역,1,2008-02-01,28.07,28.07,3000994,2007-12-07,1152000000,2007-12-12,2008-09-29
인천신항 진입도로 및 호안축조공사(1공구) 전면책임감리용역,1,2008-01-01,19.38,19.38,3000993,2007-12-07,1152000000,2007-12-12,2008-09-29
인천신항 진입도로 및 호안축조공사(1공구) 전면책임감리용역,1,2007-12-01,10.08,10.08,3000992,2007-12-07,1152000000,2007-12-12,2008-09-29
인천신항 진입도로 및 호안축조공사(1공구) 4차,4,2009-10-01,69.97,90.74,3000991,2009-12-15,60971000000,2009-03-13,2010-01-02
인천신항 진입도로 및 호안축조공사(1공구) 4차,4,2009-09-01,66.88,81.19,3000990,2009-12-15,60971000000,2009-03-13,2010-01-02
인천신항 진입도로 및 호안축조공사(1공구) 4차,4,2009-08-01,59.41,68.32,3000989,2009-12-15,60971000000,2009-03-13,2010-01-02
인천신항 진입도로 및 호안축조공사(1공구) 4차,4,2009-07-01,56.41,56.16,3000988,2009-12-15,60971000000,2009-03-13,2010-01-02
인천신항 진입도로 및 호안축조공사(1공구) 4차,4,2009-06-01,48.11,43.99,3000987,2009-12-15,60971000000,2009-03-13,2010-01-02
인천신항 진입도로 및 호안축조공사(1공구) 4차,4,2009-05-01,44.35,33.76,3000986,2009-12-15,60971000000,2009-03-13,2010-01-02
인천신항 진입도로 및 호안축조공사(1공구) 4차,4,2009-04-01,42.54,25.85,3000985,2009-12-15,60971000000,2009-03-13,2010-01-02
인천신항 진입도로 및 호안축조공사(1공구) 4차,4,2009-03-01,38.81,20.17,3000984,2009-12-15,60971000000,2009-03-13,2010-01-02
인천신항 진입도로 및 호안축조공사(1공구) 4차,4,2009-02-01,25.73,13.18,3000983,2009-12-15,60971000000,2009-03-13,2010-01-02
인천신항 진입도로 및 호안축조공사(1공구) 4차,4,2009-01-01,12.51,6.59,3000982,2009-12-15,60971000000,2009-03-13,2010-01-02
인천신항 진입도로 및 호안축조공사(1공구) (3차),3,2008-12-01,100,100,3000981,2008-12-22,29500000000,2008-07-28,2008-12-31
인천신항 진입도로 및 호안축조공사(1공구) (3차),3,2008-11-01,94.27,31.72,3000980,2008-12-22,29500000000,2008-07-28,2008-12-31
인천신항 진입도로 및 호안축조공사(1공구) (3차),3,2008-10-01,88.24,20.45,3000979,2008-12-22,29500000000,2008-07-28,2008-12-31
인천신항 진입도로 및 호안축조공사(1공구) (3차),3,2008-09-01,51.51,11.9,3000978,2008-12-22,29500000000,2008-07-28,2008-12-31
인천신항 진입도로 및 호안축조공사(1공구) (3차),3,2008-08-01,37.45,6,3000977,2008-12-22,29500000000,2008-07-28,2008-12-31
인천신항 진입도로 및 호안축조공사(1공구) (2차),2,2008-11-01,100,100,3000976,2008-11-27,11830000000,2008-04-11,2008-11-30
인천신항 진입도로 및 호안축조공사(1공구) (2차),2,2008-10-01,95.13,78.22,3000975,2008-11-27,11830000000,2008-04-11,2008-11-30
인천신항 진입도로 및 호안축조공사(1공구) (2차),2,2008-09-01,79.16,56.51,3000974,2008-11-27,11830000000,2008-04-11,2008-11-30
인천신항 진입도로 및 호안축조공사(1공구) (2차),2,2008-08-01,53.8,57.85,3000973,2008-11-27,11830000000,2008-04-11,2008-11-30
인천신항 진입도로 및 호안축조공사(1공구) (2차),2,2008-07-01,35.93,38.64,3000972,2008-11-27,11830000000,2008-04-11,2008-11-30
인천신항 진입도로 및 호안축조공사(1공구) (2차),2,2008-06-01,19.39,14.78,3000971,2008-11-27,11830000000,2008-04-11,2008-11-30
인천신항 진입도로 및 호안축조공사(1공구) (2차),2,2008-05-01,8.2,6.96,3000970,2008-11-27,11830000000,2008-04-11,2008-11-30
인천신항 진입도로 및 호안축조공사(1공구) (2차),2,2008-04-01,2.45,2.37,3000969,2008-11-27,11830000000,2008-04-11,2008-11-30
인천신항 진입도로 및 호안축조공사(1공구),1,2008-02-01,77.28,76.15,3000968,2007-12-12,8000000000,2007-12-12,2008-04-11
인천신항 진입도로 및 호안축조공사(1공구),1,2008-03-01,96.92,89.88,3000967,2007-12-12,8000000000,2007-12-12,2008-04-11
인천신항 진입도로 및 호안축조공사(1공구),1,2008-04-01,100,100,3000966,2007-12-12,8000000000,2007-12-12,2008-04-11
인천신항 진입도로 및 호안축조공사(1공구),1,2008-02-01,77.28,76.15,3000965,2007-12-12,8000000000,2007-12-12,2008-04-11
인천신항 진입도로 및 호안축조공사(1공구),1,2008-01-01,14.46,13.6,3000964,2007-12-12,8000000000,2007-12-12,2008-04-11
인천신항 관리부두 실시설계용역,1,2007-10-01,33.9,33.9,3000963,2007-05-07,1259808000,2007-05-08,2008-03-07
인천신항 관리부두 실시설계용역,1,2008-03-01,88.5,90.5,3000962,2007-05-07,1259808000,2007-05-08,2008-03-07
인천신항 관리부두 실시설계용역,1,2008-04-01,95.6,97,3000961,2007-05-07,1259808000,2007-05-08,2008-03-07
인천신항 관리부두 실시설계용역,1,2007-07-01,23.7,28,3000960,2007-05-07,1259808000,2007-05-08,2008-03-07
인천신항 관리부두 실시설계용역,1,2007-11-01,41,43.3,3000959,2007-05-07,1259808000,2007-05-08,2008-03-07
인천신항 관리부두 실시설계용역,1,2007-12-01,60.5,54.8,3000958,2007-05-07,1259808000,2007-05-08,2008-03-07
인천신항 관리부두 실시설계용역,1,2008-01-01,66.1,66.1,3000957,2007-05-07,1259808000,2007-05-08,2008-03-07
인천신항 관리부두 실시설계용역,1,2008-02-01,80.3,80.3,3000956,2007-05-07,1259808000,2007-05-08,2008-03-07
인천신항 관리부두 실시설계용역,1,2007-06-01,15.2,18,3000955,2007-05-07,1259808000,2007-05-08,2008-03-07
인천신항 관리부두 실시설계용역,1,2007-05-01,8,8,3000954,2007-05-07,1259808000,2007-05-08,2008-03-07
"인천남외항 건설사업 환경,교통영향평가용역",1,2007-08-01,100,100,3000953,2006-12-22,649950000,2006-04-05,2007-09-03
