발주청,대상사업,공사개요,총공사비(억원),공사착공년도,공사준공년도,사후평가 계약시작일,사후평가 계약종료일
부산지방해양수산청 부산항건설사무소,부산신항 준설토 투기장 호안(1공구) 및 기타공사,"호안 9,075m 교량 950m",2368,2000,2004,2009-09-28,2010-04-27
부산지방해양수산청 부산항건설사무소,부산신항 준설토 투기장 호안(2공구) 건설공사,"호안 7,401m",2459,1999,2004,2009-09-28,2010-04-27
군산지방해양수산청,군장신항만 남측안벽(2공구) 축조공사,"안벽축조 1,350m",1154,1999,2004,2009-09-28,2010-04-27
군산지방해양수산청,군장신항만 북방파제 축조공사 ,"방파제 3,000m",2248,1997,2004,2009-09-28,2010-04-27
포항지방해양수산청,영일만신항 어항시설 축조공사,"방파제 1,076.7m 물양장 426m",557,1996,2001,2009-09-28,2010-04-27
평택지방해양수산청,평택(아산)항 외곽호안(1공구)축조공사,"호안 5,100m",653,1998,2002,2009-09-28,2010-04-27
평택지방해양수산청,"평택(아산)항 서부두(1,2번선) 축조공사",안벽 480m 물양장 170m,651,1997,2001,2009-09-28,2010-04-27
부산지방해양수산청 부산항건설사무소,부산신항 진입도로 건설공사,"도로 3,76km",1117,2002,2005,2010-09-15,2011-02-26
부산지방해양수산청 부산항건설사무소,양산 ICD 인입철도 건설공사,"철도 4,5km",577,1999,2005,2010-09-15,2011-02-26
여수지방해양수산청,광양항 묘도 준설토투기장 축조공사,호안 10.5km,650,1997,2005,2010-09-15,2011-02-26
포항지방해양수산청,포항영일만 신항개발 외곽시설 축조공사,"북방파제 3,1km",2206,1997,2005,2010-09-15,2011-02-26
한국컨테이너부두공단,광양항 3단계 1차 컨테이너터미널 축조공사,"5만DWT×4선석 1,400m",2508,2002,2006,2011-04-14,2011-08-15
부산지방해양수산청 부산항건설사무소,부산항 국제여객 및 해경부두 건설공사,"크루즈및해경부두 360m 해경 소형선부두 165m 파제제 150m,친수호안 200m",795,2003,2006,2011-04-27,2011-11-26
울산지방해양수산청,울산신항 방파제 1단계(1공구) 축조공사,방파제 400m 방파호안 500m,2172,1999,2005,2011-04-27,2011-11-26
대산지방해양수산청,대산항 개발(1단계)사업 축조공사,"안벽(2만톤) 210m 관리부두 250m 서방파제 660m, 호안 703m",981,2002,2006,2011-07-12,2011-12-11
군산지방해양수산청,군·장 신항만 남측안벽(3공구) 축조공사,"안벽800m(5만톤급×2,3만톤급×1)",1598,2005,2011,2012-01-18,2012-08-17
군산지방해양수산청,군·장 신항만 남방파제 축조공사,남방파제 850m,599,2006,2009,2012-01-18,2012-08-17
평택지방해양수산청,"평택(아산)항 동부두(6,7,8번선석) 축조공사",2천TEU급 3선석 부대공 1식 등,1222,2001,2008,2012-02-17,2012-09-16
평택지방해양수산청,평택(아산)항 남측호안 철거공사,"남측호안 철거 1,242m, 내항구조물 보강 5,730m, 인입공급시설 1,569m, 대체진입도로 7,234m",580,2005,2007,2012-02-17,2012-09-16
평택지방해양수산청,평택(아산)항 외곽호안(2공구) 축조공사,외곽호안 7.7km 부대공 1식 등,755,2003,2007,2012-02-17,2012-09-16
부산항만공사,부산신항 북컨테이너터미널 (2-1단계)부두 축조공사,"상부기능시설 축조공사 (RMGC, 포장공, 우오수 급수공, 조경공사, 기타부대시설)",478,2007,2009,2012-11-26,2013-06-23
부산항만공사,부산신항 북컨테이너터미널 (2-1단계)부두 축조공사,"하부축조공사 안벽1,100m(5만DWT×2선석, 2만DWT×2선석)",1359,2003,2007,2012-11-26,2013-06-23
부산항만공사,부산신항 북컨테이너터미널 부지조성공사,"부지조성: 665천㎡, 부대시설",1183,2005,2009,2012-11-26,2013-06-23
여수지방해양수산청,광양항 동측배후단지 축조공사,항만배후단지 조성 195만㎡,2637,2003,2009,2013-01-31,2013-08-30
여수지방해양수산청,광양항 중마일반부두 축조공사,일반부두 2만DWT 2선석,520,2003,2008,2013-01-31,2013-08-30
부산지방해양수산청 부산항건설사무소,부산신항 연결잔교 및 다목적부두 축조공사,"연결잔교 300m, 다목적부두 400m",819,2002,2007,2014-03-06,2014-10-05
부산지방해양수산청 부산항건설사무소,부산신항 진입철도 건설공사,철도 2.9km,1067,2004,2009,2014-03-06,2014-10-05
부산지방해양수산청 부산항건설사무소,부산신항 남‘컨’부두 배후지 준설토투기장 가호안(1공구) 축조공사,"외곽호안 1,042m 내부가호안 1,617.5m",1108,2005,2009,2014-03-06,2014-10-05
부산지방해양수산청 부산항건설사무소,"부산신항 남‘컨’부두 (2-2단계, 하부) 축조공사","임항도로 1,150m 천가일주도로 1,053m",2488,2004,2009,2014-03-06,2014-10-05
부산지방해양수산청 부산항건설사무소,부산신항 다목적부두 배후부지조성 및 기타공사,"호안 1,026m 진입도로 964m 눌차교 300m",604,2004,2009,2014-03-06,2014-10-05
