구분 ,노선 ,버스 종류,노선 수,노선현황
김포,시내,시내버스,7,"고촌, 개화역, 종로, 광화문, 서대문, 대방, 노량진, 개봉, 화곡, 영등포, 등촌, 당산 등"
김포,시외,시외버스,22,"사당, 과천, 남양주, 서산, 동탄, 동수원, 성남, 청주, 안산, 용인, 의정부, 이천, 여주, 전주 등"
김포,시외,리무진버스,8,"수락산역, 길음역, 서울대, 영등포, 광명, 인천공항 등 "
김포,좌석버스,좌석버스,10,"(인천행) 작전, 계양구청, 검단, 부천, 소사, 송내, 역곡역 등 (경기행) 강화터미널, 금촌, 파주, 백석, 교화 등"
김포,지하철,지하철,5,"5호선, 9호선, 공항철도, 김포도시철도, 서해선"
김해,시내,일반버스,1,"해운대, 부산역, 서면 등"
김해,시내,마을버스,2,"구포, 덕천로터리, 신평, 하단 등"
김해,시외,시외버스,8,"대구, 구미 창원, 장유, 거제, 진주 등"
김해,경전철,경전철,1,부산-김해 경전철
제주,시내,순환버스,4,"오일장, 사대부고, 도두장, 버스터미널, 용담사거리, 한라수목원 등"
제주,시내,심야버스,4,"한라병원, 백록초, 제주고, 버스터미널, 외도초, 한라대학교 등"
제주,시내,시티투어,1,"제주버스터미널, 연안여객터미널, 도두봉, 한라수목원 등 "
제주,시외,급행버스,13,"동광양, 서귀포, 제주버스터미널, 성산일출봉, 제주시청, 제주대 등"
제주,시외,간선,10,"중앙로, 동문시장, 동문로터리, 중앙병원, 한라수목원, 제주시청 등"
제주,시외,리무진버스,3,"월드컵경기장, 서귀포칼호텔, 서귀포시청, 제주도청, 서귀포버스터미널 등"
제주,시외,관광지순환,3,"봉개, 대천, 비자림, 오설록, 신평리, 동광환승정류장 등"
청주,시내,시내버스,3,"상당공원, 오송역, 세종터미널, 세종청사, 신탄진 등"
청주,시외,시외버스,7,"서울, 인천, 대전, 충남, 충북"
청주,철도,철도,2,"서울, 제천, 대전"
대구,시내,시내버스,8,"이시아폴리스, 파계사, 동대구역 지하도, 수성못, 계명대, 경북대 등"
대구,시내,시티투어,1,"동성로, 이월드, 앞산전망대 등"
대구,시외,좌석버스,1,구미
대구,지하철,지하철,1,대구 1호선
무안,시내,시내버스,2,무안버스터미널
무안,시외,시외버스,4,"광주송정역, 광주 유스퀘어, 김대중컨벤션센터, 남악, 목포"
양양,시내,셔틀버스,2,"양양터미널 방향, 양양공항 방향"
양양,시내,마을버스,1,"손양면사무소, 월리, 양양터미널 등"
양양,시외,시외버스,4,"강릉, 속초, 양양 등"
광주,시내,시내버스,2,"송정역, 평동역, 송정공원역 등"
광주,지하철,지하철,1,광주 1호선
울산,시내,시내버스,28,"농소, 달천, 매곡, 모화, MBC방송국, KBS방송국, 남구청, 성남동, 울산시청, 울산대, 꽃바위, 덕계시장, 일산해수욕장 등"
울산,시외,리무진버스,1,"농소, 혁신도시, 천상, KTX울산역 등"
울산,시외,좌석버스,2,"농소, 모화, 시청, 태화강역, 삼산동 등"
여수,시내,시내버스,5,"율촌, 미평, 산곡, 애양원, 제일고 등"
포항경주,시내,시내버스,2,"양덕, 시외버스터미널, 구룡포, 포항역, 영일대, 고속버스터미널 등"
포항경주,시외,시외버스,1,"경주터미널, 보문단지"
사천,시내,시내버스,12,"곤양터미널, 사천터미널, 삼천포터미널, 용수삼거리 등"
사천,시외,시외버스,2,"진주터미널, 삼천포터미널 등"
군산,시내,시내버스,3,군산역 등
군산,시외,시외버스,1,"익산터미널, 전주터미널"
원주,시내,시내버스,2,"횡성터미널, 원주터미널, 원주KBS 등"
원주,시외,시외버스,2,"춘천, 원주, 홍천 등"
