순번,사업명,사업구간,사업내용,연장(km),총사업비(억원),사업기간,구분
1,삼성~동탄 광역급행철도,삼성~동탄,복선전철,39.7,21452,2014~2028,공사중
2,신안산선 복선전철,안산~여의도,복선전철,44.9,43055,2016~2024,공사중
3,대구권 광역철도,구미~경산,기존선 개량,61.9,2092,2014~2025,공사중
4,수도권광역급행철도(A노선),파주~삼성,복선전철,46,36238,2018~2024,공사중
5,충청권 광역철도(1단계),계룡~신탄진,기존선 개량,35.4,2583,2015~2026,공사중
6,용산~상봉 광역급행철도,용산~상봉,복선전철,20,28077,2022~2030,공사중
7,수도권광역급행철도(B노선),"인천대입구~용산, 상봉~마석","복선전철, 기존선 개량",62.7,38421,2022~2030,공사중
8,수도권광역급행철도(C노선),"덕정~수원, 상록수",복선전철,86.5,46084,2023~2028,공사중
9,신분당선(광교~호매실),광교~호매실,복선전철,9.9,11049,2021~2029,설계중
10,충청권광역철도(옥천연장),대전조차장~옥천,복선전철,20.1,490,2021~2026,설계중
11,태화강~송정 광역철도,태화강~북울산,복선전철,9.7,262,2022~2025,설계중
12,대장~홍대 광역철도,대장~홍대,복선전철,20,21287,2024~2030,설계중
