구분번호,사업명,사업기간(시작일),사업기간(종료일),총사업비
101,경부고속철도철도,1992-01-01,2008-12-31,12737729 
102,경부고속철도 2단계,2002-06-01,2024-12-31,8247815 
103,수원~천안 2복선전철,1990-05-01,2008-06-30,1204401 
104,"전라선개량(임실~금지, 압록~구례구)",1988-01-01,2004-12-31,1088171 
105,충북선 전철화,1997-01-01,2004-12-31,0 
106,천안∼온양온천 복선전철,1997-05-12,2009-12-31,530098 
107,장항선 개량,1997-05-07,2009-12-31,1554157 
108,경춘선 복선전철,1996-12-17,2013-12-31,2062804 
109,덕소∼원주 복선전철,1993-10-11,2015-12-31,1958533 
110,영동선 철도이설,1998-03-16,2013-06-28,520368 
111,호남선전철화(대전~목포),2001-01-01,2004-12-31,0 
112,조치원∼대구 전철화,2001-07-01,2007-09-12,732878 
113,인천국제공항철도 건설,2001-03-30,2010-12-31,150500 
114,동해~강릉 전철화,2001-01-01,2005-12-31,83027 
115,동순천∼광양 복선화,2001-03-30,2013-06-30,394644 
116,순천∼여수 복선전철,2000-12-01,2013-06-30,744835 
117,제천∼도담 복선전철,2004-02-02,2012-08-30,300711 
118,전라선 복선전철화,2002-12-18,2013-09-30,502640 
119,제천∼쌍용 복선전철,2003-04-09,2014-07-31,368729 
120,성남∼여주 복선전철,1999-06-24,2017-12-31,1903638 
121,포항∼삼척 철도건설,2002-01-02,2024-12-30,3428882 
122,삼랑진∼진주 복선전철,1997-07-09,2013-12-30,1825438 
123,보성∼임성리 철도건설,2002-05-23,2024-12-31,1645130 
124,소사∼원시 복선전철,2004-02-13,2018-06-18,238744 
125,원주∼제천 복선전철,2003-01-30,2023-12-29,1210901 
126,울산∼포항 복선전철,2003-01-02,2022-12-30,2678412 
127,진주∼광양 복선화,2003-06-03,2017-12-31,1085392 
128,대구선 화물역중계역 신설,2003-01-01,2004-12-31,0 
129,경인 2복선전철,1991-01-01,2005-12-31,667356 
130,동부전동차사무소 건설,1996-01-02,2007-12-31,217912 
131,분당선복선전철(선릉~오리),1990-01-01,2004-12-31,0 
132,건널목 입체화 사업,2004-01-02,2019-12-27,468535 
133,원주∼강릉 철도건설,1998-12-22,2020-12-31,3645755 
134,부전∼마산 복선전철,2004-02-02,2021-02-10,119195 
135,인천국제공항 활주로구간 철도건설,2004-02-01,2007-12-31,35630 
136,호남권내륙화물기지 인입철도,2001-01-01,2004-12-31,53783 
137,영남권내륙화물기지 인입철도건설,2004-01-01,2008-12-31,36820 
138,중부권내륙화물기지 인입철도건설,2004-01-02,2009-12-31,76991 
139,철도교통관제시설,2005-01-01,2011-12-31,29760 
140,청량리∼덕소 복선전철,1990-04-03,2010-12-31,749372 
141,의정부∼동안 복선전철,1995-07-03,2008-12-31,856557 
142,용산∼문산 복선전철,1993-07-01,2017-12-31,2443158 
143,수원∼인천 복선전철,1995-07-14,2021-12-31,2020129 
144,왕십리∼선릉 복선전철,2000-01-03,2012-12-28,742788 
145,오리∼수원 복선전철,2000-01-03,2015-06-30,1376807 
146,부산∼울산 복선전철,1993-01-04,2022-12-30,2827056 
147,망우∼금곡 복선전철,1997-01-02,2020-12-31,620450 
148,신분당선(강남~정자) 복선전철-민자,2005-03-18,2011-12-31,576484 
149,신분당선 연장(정자~광교) 복선전철-민자,2005-01-03,2016-02-10,782100 
151,부산신항배후철도 건설,2001-07-18,2014-12-31,933459 
152,대구선 철도이설,1994-08-01,2008-08-31,225770 
153,월계∼녹천 철도이설,1999-09-14,2014-12-31,64875 
154,철도횡단시설사업,2004-01-01,2015-12-31,243780 
155,일반철도시설개량,2004-01-02,2020-12-31,10252745 
156,경부고속철도 유지보수비,2004-01-02,2028-12-30,2077540 
157,일반철도 유지보수비,2004-01-01,2026-12-31,10466800 
158,군산선(익산~대야) 복선전철,2005-01-03,2021-12-31,466248 
159,이천~문경 철도건설,2004-12-31,2025-12-31,2550406 
160,군장국가산업단지 인입철도,2005-01-03,2020-12-31,616991 
161,호남고속철도,2006-08-28,2025-12-30,8119054 
162,국가중요시설방호경비,2006-01-01,2019-12-31,117909 
163,동해북부선 남북철도연결사업,2002-09-03,2004-12-30,0 
164,경의선 철도출입시설사업,2006-02-01,2011-12-31,0 
165,"경의선 철도,도로 출입시설 공용야드사업",2006-02-01,2011-12-31,0 
166,경의선 장단~문산 선로복구사업,2003-01-01,2003-12-31,0 
167,"동해선 철도,도로 출입시설 공용야드사업",2006-01-01,2009-12-29,21191 
168,원주~강릉 BTL,2006-01-01,2010-12-31,4782 
169,온양온천~신창 복선전철화,2006-01-01,2008-12-31,21535 
170,신탄리~철원 철도복원,2006-01-02,2016-06-28,47741 
171,대구선 화물중계역,2006-01-01,2006-12-31,13000 
172,해외공사용역비,2006-01-01,2015-12-31,80092 
173,철도산업정보센터,2006-09-29,2010-12-31,14645 
174,여수정거장 이전,2006-01-01,2009-01-31,2400 
175,영구사옥건립,2004-11-01,2013-12-31,112563 
176,경부선 당정역사 신설,2007-01-02,2010-04-30,22356 
177,도시형 자기부상열차 실용화 사업,2006-12-01,2015-12-31,323828 
178,가상건설시스템 개발,2006-12-28,2011-10-28,319 
179,기타 수탁사업,2007-04-03,2020-12-31,403065 
180,경부선 병점차량기지역 신설,2007-03-02,2010-12-31,34000 
181,기타사업(환경시설개량 등),2007-01-02,2010-12-31,0 
182,안전품질비,2007-07-03,2025-12-31,0 
183,덕소~원주 복선전철(수탁사업),2007-01-02,2009-12-31,5027 
184,미래철도 기술개발 사업,2011-09-28,2020-12-31,24411 
186,건널목 위탁관리,2008-01-02,2018-12-31,204216 
187,수도권 북부 내륙화물기지 인입철도,2008-01-02,2014-12-31,29551 
188,포승~평택 철도건설,2004-07-01,2030-12-31,709123 
189,중앙선 오빈역사 신설,2008-04-28,2010-12-30,13472 
190,전용선 유지보수위탁,2008-08-26,2013-12-31,11647 
191,대곡~소사 복선전철,2016-06-30,2021-06-29,240425 
193,대구선 복선전철,2006-01-02,2021-12-31,755187 
194,신안산선 복선전철,2016-12-30,2024-12-24,709107 
195,부산신항 진입철도 및 임항철도 운용설비 신설,,,6168 
196,철도공안사무소 청사 증개축,2009-02-19,2009-12-31,568 
197,일산선 원흥역 신설,2009-08-03,2013-12-31,83850 
198,경춘선 별내역 신설,2010-01-04,2013-12-31,26138 
199,철도사후관리 및 지원(자체),2009-10-23,2034-12-15,159778 
200,영주댐 수몰지구 철도이설,2009-10-15,2013-12-31,204116 
201,김포도시철도 건설사업,2009-11-02,2019-04-30,1508619 
202,경의선 횡단 입체교차시설,2010-03-02,2013-12-31,24391 
203,수도권고속철도 수서~평택구간 건설사업,2008-01-01,2021-12-31,3058302 
204,서해선 복선전철,2009-03-02,2024-12-31,4093680 
206,경춘선 묵현역 신설,2010-01-01,2013-12-31,265 
207,부산신항 남컨테이너부두 운용,2009-10-01,2012-10-31,0 
208,경의선 강매역사 신설공사,2010-07-01,2015-12-31,18562 
209,용산~강남 복선전철_민자,2010-09-14,2024-12-31,652672 
210,경인선 백운역 철도역 복개,2011-04-19,2015-12-31,18262 
211,울산신항 인입철도건설,2010-01-05,2021-12-31,222528 
212,포항영일만신항 인입철도건설,2010-01-05,2019-12-31,169559 
213,영천~신경주 복선전철,2010-01-04,2021-12-31,560303 
215,철도산업정보센터운영,2011-01-01,2018-12-31,15374 
216,대구권광역철도기본조사,2009-01-02,2014-12-31,1000 
217,공항철도 연계시설 확충사업 건설공사,2010-01-04,2014-12-31,303052 
218,구로차량기지이전,2007-01-02,2012-12-31,476513 
219,장항선 개량 2단계,2010-01-04,2026-12-31,994747 
220,동두천~연천 복선전철,2010-01-04,2024-12-31,498599 
221,도담~영천 복선전철,2010-01-04,2025-12-31,4335249 
222,철도종합 시험선로 구축,2011-01-01,2015-12-31,239860 
223,인천공항철도 청라역신설,2011-10-05,2014-07-15,66982 
224,정자~광교 건설사업관리,2011-10-13,2015-12-31,3648 
225,고속철도 안전 및 시설개량,2012-01-02,2030-12-31,1234167 
226,인천공항 제2여객터미널 연결사업,2012-04-27,2018-12-31,438114 
227,인덕원~동탄 복선전철 건설사업,2015-01-02,2026-12-31,4073150 
228,인천공항철도 영종역 신설사업,2012-06-27,2016-06-30,39411 
229,"수도권 송도~용현간 용현,학익지구 철도개선사",2012-06-08,2015-12-31,104209 
230,철도재해복구비,2008-01-02,2048-01-17,733 
231,당고개~진접 복선전철,2010-09-01,2022-06-30,1547940 
232,민자철도운영지원,2013-03-25,2030-12-31,1265 
233,수인선 2공구 수원시구간 지하화사업,2013-03-27,2017-12-29,167600 
234,인천공항철도 마곡역 신설사업,2013-05-29,2017-12-29,68490 
235,경북선 예천-어등간 철도이설,2013-06-13,2016-12-30,10808 
236,경의선 야당역 신설사업,2013-04-10,2015-12-31,24331 
