사업비용,사업시작일,사업종료일,사업개요,추진경위
2388587,2005-01-03,2016-12-30," 1. 사업내용 : 여주~충주~문경간 93.185km 단선전철 건설   2. 필  요 성 : 중부내륙 간선철도망 구축 일환으로서 충북선, 경부선,                      중앙선, 문경선과의 연결로 철도의 효율성 제고 및                      지역발전 도모   3. 사업기간 : 2005~2021년   4. 총사업비 : 2조 3,886억원   5. 사업효과 : 충북, 경북 내륙지역 부존자원 개발 및 지역발전 도모                    중부내륙의 철도 수혜권역으로 획기적으로 확대하여 지                    역개발 확대"," - 1999.12   : 국가기간교통망 사업  - 2002.07 ~ 2003.06 : 예비타당성조사 (B/C=1.02~0.96)  - 2005.06 ~ 2006.12 : 타당성 조사 및 기본계획 조사  - 2007.09 ~ ‘10.10 : 이천~충주 노반 기본설계(유신, KRTC)  - 2009.05.19       : 이천~충주~문경 기본계획 변경고시  - 2011.03.21       : 실시설계 계약 및 착수(5개공구, 122억원)  - 2011.08.12       : 타당성재조사 시행(기재부⇒KDI ‘11.8~’12.1)  - 2011.12.16       : 실시설계 기한연장(‘11.3~’12.6, 변경: ~‘13.2)  - 2011.12.30       : 타당성재조사 1차 기한연장(‘12.1 ⇒ ’12.3)  - 2012.03.18       : 타당성재조사 2차 기한연장(‘12.3 ⇒ ’12.6)  - 2012.06.25       : 실시설계 용역 일시중지                         - 기재부 타당성재조사 결과 후 재착수일까지  - 2012.07.04       : 타당성재조사 3차 기한연장(‘12.6 ⇒ ’12.8)  - 2012.08.08       : 타당성재조사 중간보고  - 2012.08.27       : 실시설계용역 재개  - 2014.07.31       : 이천~충주 실시설계 준공(1,3,4공구)  - 2014.12.11       : 이천~충주 최초계약(1,3,4공구)   - 2015.03.09       : 이천~충주 실시설계 준공(5공구)  - 2015.06.25       : 이천~충주 계약(2,5공구)   - 2015.06.16       : 이천~충주 실시설계 준공(2공구)  - 2015.08.05       : 이천~충주 계약(2공구)   - 2015.09.22       : 사업실시계획 변경(3차) 승인(국토부 고시 제2015-688호)  - 2017.03.23       : 이천~문경 계약(8공구 T/K)  - 2017.06.01       : 이천~문경 계약(6공구 T/K)   - 2017.12.29       : 이천~충주 실시설계 준공(7,9공구)  - 2018.05.08       : 이천~문경 계약(7,9공구)   - 2018.08.06       : 사업실시계획 변경승인(국토부 고시 제2018-486호)  - 2019.04.29       : 총사업비 변경(17차 2,316,730백만원)  - 2019.05.27       : 총사업비 변경(18차 2,311,199백만원)  - 2019.07.10       : 총사업비 변경(19차 2,356,479백만원)  - 2019.07.31       : 총사업비 변경(20차 2,393,344백만원)  - 2019.10.07       : 사업실시계획 변경승인(국토부 고시 제2019-534호)  - 2019.10.08       : 총사업비 변경(21차 2,388,587백만원) "
617235,2005-01-03,2020-12-31,"о 사업내용 : 군산선 대야~군장산업단지 28.6㎞ 단선철도 건설    - 주요시설 : 교량18개소(7.8km), 터널 4개소(1.2km), 토공 (19.6km)       정거장 및 신호소 2개소(군장항, 옥산) о 사업기간 : 2005 ~ 2020년 о 총사업비 : 6,172억원 о 건설계획 (설계속도 150㎞/h)    - '12년 공사착공, '18년 개통을 목표로 공사추진 о 사업효과    - 군산지역 내 3개 국가 및 지방산업단지와 새만금산업단지 조성에       따른 철도물류 수송체계 확충    - 광양항 및 전라선, 군산~장항 환황해권시대의 수도권과 연계한      서해안 물류수송체계 확립으로 국가경쟁력 향상  ","    ㅇ 추진경위  о '03.12～'04.04 : 예비타당성(B/C 1.03)  о '05.05～'06.09 : 타당성조사 및 기본계획  о '06.12～'08.07 : 기본설계  о '09.04～'11.02 : 실시설계  о '11.12.19      : 사업실시계획 승인(국토해양부 고시 제2011-774)  о '12.09.27      : 노반공사 입찰공고  о '12.12.06      : 노반공사 계약  о '14.04.22      : 총사업비 변경(6차 546,355백만원)  о '15.04.10      : 총사업비 변경(7차 551,895백만원)  о '15.08.26      : 군장활성화 방안 연구 용역 착수  о '15.10.01      : 사업실시계획변경승인(국토교통부 고시                         제2015-709)  о '15.11.10      : 총사업비 변경(8차 580,125백만원)  о '16.12.26      : 총사업비 변경(9차 581,288백만원)  о '17.06.22      : 총사업비 변경(10차 600,160백만원)  о '17.08.22      : 총사업비 변경(11차 600,640백만원)  о '17.09.04      : 총사업비 변경(12차 608,238백만원)  о '17.12.19      : 총사업비 변경(13차 613,838백만원)  о '18.09.04      : 건축 실시설계 착수  о '18.09.13      : 총사업비 변경(14차 621,175백만원)  о '18.10.15      : 총사업비 변경(15차 621,550백만원)  о '18.12.10      : 총사업비 변경(16차 622,017백만원)  о '19.05.22      : 통신설비 공사 착수  о '19.05.30      : 신호설비 공사 착수  о '19.06.05      : 총사업비 변경(17차 622,017백만원)  о '19.06.28      : 궤도설비 공사 착수  о '19.07.10      : 총사업비 변경(18차 621,390백만원)  о '19.07.15      : 총사업비 변경(19차 619,268백만원)  о '19.07.25      : 전력설비 공사 착수  о '19.09.02      : 총사업비 변경(20차 617,339백만원)  о '19.11.29      : 총사업비 변경(21차 617,235백만원)"
8131322,2006-08-28,2020-12-30,"□ 사업개요  ㅇ 사업내용    - 오송~목포간 230.9km 고속철도 신선 건설    - 6개 역사 신설 및 개량(오송역 호남선 부분)    - 광주차량기지 신설   ㅇ 사업구간 : 오송~목포(임성리)  ㅇ 사업기간 : 2006~2017년    - 오송~광주송정 : 2006~2014년    - 광주송정~목포 : 2006~2017년  ㅇ 사업효과    - 철도수송능력 향상과 고속철도 운행으로 반나절 생활권 실현     = 용산~광주송정(304km) 159분에서 93분으로 66분 단축     = 용산~목포(353km) 185분에서 106분으로 79분 단축    - 충청 및 호남지역 균형발전 촉진  ㅇ 사 업 비  : 10조 3,551억원 (차량비 7,360억원)    - 광주~목포 기존선 활용","□ 공정현황   ㅇ '14.5월말 공정    - 오송~익산  : 93.6% (계획 93.6% 대비 100%)    □ 사업비현황   ㅇ '14.5월말  : 2조 3,543억원 집행(대비 99.7%)   □ 주요 추진경위    ㅇ '06. 8.28 : 기본계획 확정고시    ㅇ '06.11.30～'08.11.28 : 기본설계    ㅇ '08.11～'09.11 : 기타구간(오송～광주구간) 실시설계    ㅇ '09. 4.16 : 기본계획 변경 고시('14년 개통, 차량기지 위치변경)    ㅇ '09. 4.16 : 사업실시계획승인(국토해양부 고시 제2009-185호)    ㅇ '09. 5.22~‘09.12.28 : 오송~광주송정 노반공사 19개 공구 착공    ㅇ '09.11.20 : 송변전설비 3개 공구 실시설계 착수    ㅇ '10. 2. 9 : 전차선로 2개 공구 실시설계 착수    ㅇ '10. 5.10 : 궤도공사 2개 공구 실시설계 착수    ㅇ  '10. 6.22 : 통신선로, 역무용통신설비, 열차무선시스템 실시설                        계 착수    ㅇ '10.12.20 : 호남고속철도 광주송정~목포(임성리)구간 노선타당성                       조사 준공    ㅇ '12. 2.17 : 호남고속차량 구매계약 체결 및 제작 착수    ㅇ '12. 7.16 : 궤도공사 2개공구 착공    ㅇ '12. 8. 3 : 기본계획 변경 고시(당초 기본계획 신설노선 폐지 등)    ㅇ '13. 5.30 : 총사업비변경 제10차(협의조정)    ㅇ '14. 1.21 : 총사업비변경 제11차(자율조정)    ㅇ '14. 3. 7 : 총사업비변경 제12차(자율조정)    ㅇ '14.12.19 : 실시계획 변경 승인  "
1204401,1990-05-01,2008-06-30,"○ 사업내용 : 경부선 수원～천안 55.6km 복선 → 2복선전철화   ○ 사업기간 : 1990 ～ 2008년     ※ 수원～병점(7.2km) 개통 : '03. 4.30     ※ 병점～천안(47.8km) 개통 : '05. 1.20     ※ 세마.오산대역사 영업개시 : '05.12.27     ※ 진위.지제역사 영업개시 : '06. 6.30   ○ 사업효과      - 선로용량 증대 (138회 → 461회/일, 편도)      - 수도권 인구분산",수원~천안 2복선전철 건설사업은 07.12.31로 준공처리하고 지자체의 수탁비 납입지연으로 미진한 잔여사업은 08년 수탁사업으로 처리함  - 감리 : '08.7.15->'08.8.14까지 기한연장으로 설계변경 - 시공 : '08.6.30->'08.7.31까지 기안연장 설계변경처리 - 교통영향평가를 종합정리하여 '08.6.26일 중앙교통영향심의위원회 제    출하여 의견수렴 최종정리됨에 따라 반영 설계변경 처리 함.
225770,1994-08-01,2008-08-31,"      ○ 사업내용 : 대구선 동대구~청천간 14.0km 철도이설(단선)     ○ 사업기간 :  1995~2007     ○ 총사업비 :  2,092억원     ○ 사업효과 :        - 시가지 중심부통과 현 노선을 이설하여 도시발전 저해요인 해소        -  평면건널목 위험 해소(26개소)     ","   ○ '05. 11.01 : 본선 개통(동대구~청천간 개통식 ‘05.11.3)      - 1,2공구 공사 준공    ○  3공구 잔여공사 추진 중      - 청천정거장 노반 및 궤도공사      - K-2 인입선 노반 및 궤도공사      - 청천정거장 및 K-2인입선 건축 및 전기분야  "
21191,2006-01-01,2009-12-29,"ㅇ 사업내용 : 동해선 철도도로 출입시설 공용야드 건설(126,590㎡)      - 동 사업은 남북교류협력기금으로 시행하는 위수탁사업        (통일부↔건교부)으로 건교부에서 공단으로 시행결정한 사업  ㅇ 사업기간 : 2005~2010   ㅇ 총사업비 : 477억원  ㅇ 사업효과 : 남북한간 물류확대 및 한반도가 동북아 교통, 물류                    중심지로 부상할 수 있는 경제적 발판 마련"," ㅇ‘05.06.30 : 동해선 출입시설 공용야드 시행 결정(건교부→공단)                   (제149차 남북교류협력추진협의회 의결)  ㅇ‘06.08.25 : 총사업비 변경 의결(48,179→48,727백만원)                    (제175차 남북교류협력추진협의회 의결)  ㅇ‘06.12.18 : 공용야드 토목공사 착공  ㅇ‘07.05.25 : 사업실시계획 승인 고시(건설교통부고시제2007-183호)   ㅇ‘07.09.14 : 공용야드 건물기타공사 착공  ㅇ‘08.05.01 : 총사업비 변경 의결(48,727→48,977백만원)                    (제200차 남북교류협력추진협의회 의결)  ㅇ‘08.06.09～08.27  : 문화재시굴조사(85천㎡) 완료  ㅇ‘08.10.08～09.03.31 : 문화재 발굴조사(10천㎡)  ㅇ‘08.11.18 : 총사업비 변경 의결(48,977→47,689백만원)                    (제211차 남북교류협력추진협의회 의결)  ㅇ‘08.12.31 : 사업실시계획 변경 고시(국토해양부고시제2008-834호)      - 사업기간 : 2008.12.31 →2009.12.31      - 사업면적 : 125,383㎡ →126,590㎡  ㅇ‘09.12.14 : 사업실시계획 변경 고시(국토해양부고시제2009-1174호)      - 사업기간 : 2009.12.31 →2010.12.31     사유) 남측 화물게이트 인근부지의 연약지반처리지연으로 연장 "
47741,2006-01-02,2016-06-28,"o 사업규모 : 경원선 신탄리~철원(대마리)간 5.6Km 철도복구 0 사업기간 : 2006~2012 0 총사업비 : 47,204백만원 0 사업목적 : 남북관계 개선시 여객 및 화물수송과 TCR, TSR과의 연계                  로 국제철도시대에 대비                  철원 지역발전촉진 및 주민의 교통편의 제공 0 추진경위 :   - `06. 5. 29: 노반 보완설계 착수   - '07. 2. 22 : 노선변경 관련 설계 방침 변경   - '07. 3. 29 : 환경, 교통 초안협의 요청   - '07. 4. 25: 환경, 교통 주민공청회 개최   - '07. 5. 4  : 선로 배선 승인   - `07. 8. 10: 조달청 선심 결과접수   - `07. 8. 31 : 노반 보완설계 준공   - `07. 9.  7 : 공사 및 감리 발주계획 방침   - `07. 9. 10 : 총사업비 협의 제출(건교부 설명)   - `07. 9. 14 : 총사업비 보완 요구(건교부→공단)   - 교통영향평가에 의한 대마리역 건축공사비 감액 등(철도건설팀)   - 신탄리~철원간 우선시행에 대한 타당성 검증 등(투자심사팀)    - `07. 9. 20 : 총사업비 보완 자료 제출   - `07. 10.  4 : 총사업비 보완제출 및 사업실시계획변경 승인 요청   - `07. 10. 16 : 총사업비 재보완설명(외부 전문용역기관 의뢰 요구)   - `07. 10. 22 : 신탄리~대마리 타당성 검증 연구 용역 견적의뢰   - `07. 10. 25 : 신탄리~대마리 타당성 검증 연구 용역 시행(공단)   - `07. 10. 29 : 신탄리~대마리 타당성 검증 연구 견적 접수   - `07. 11.  5 : 검증 연구 용역 요약보고서 제출(투자심사과)   - `07. 11.  9 : 경원선 신탄리~철원 철도복구 공사 발주서류 접수   - `07. 11. 12 : 검증 연구 용역 시행   - `07. 11. 13 : 경원선 신탄리~철원 철도복구 노반건설공사 계약요청   - `07. 11. 13 : 경원선 신탄리~대마리 철도복원 타당성 검증 계약요청   - `07. 11. 15 : 경원선 신탄리~철원 철도복구 노반건설공사 입찰공고   - `07. 11. 19 : 건교부 업무지시(착공관련)   - `07. 11. 20 : 경원선 신탄리~철원 철도복구 노반건설공사 책임감리                      시행   - `07. 11. 21 : 경원선 신탄리~철원 철도복구 노반건설공사 책임감리                      계약요청   - `07. 11. 22 : 경원선 신탄리~대마리 철도복원 타당성 검증연구 수의                       시담   - `07. 11. 23 : 경원선 신탄리~철원 철도복구 노반건설공사 책임감리                      입찰공고   - `07. 11. 27 : 노반건설공사 PQ접수 마감   - `07. 11. 31 : 경원선 신탄리~대마리 철도복원 타당성 검증연구 계약                       착공   - `07. 12.  7 : 노반건설공사 현장설명회   - `07. 12.  7 : 노반건설공사 책임감리 사업수행능력평가서 접수   - `07. 12. 12 : 노반건설공사 책임감리원 면접 평가   - `07. 12. 21 : 공사 및 감리 개찰   - `07. 12. 27 : 총사업비 승인 : 58,514백만원(감6,486백만원)   - `07. 12. 28 : 타당성 연구용역 준공처리(21,727천원)   - `07. 12. 31 : 계약 및 착공(공사 : 신동아 건설 ; 20,176백만원)   - '08. 1. 15 : 사업실시계획(변경) 승인   - '08.  2.14 : 감리계약 예정 : 동부엔지니어링 1,392백만원    - '08.  2.19 : 노반건설공사 1차분 계약(2,000백만원)   - '08. 04. 27 : 총사업비 변경(58,514백만원 → 40,604백만원)   - '09. 04. 13 : 총사업비 변경(40,604백만원 → 44,277백만원)    -' 09. 08. 31 : 사업기간 연장(2010 → 2012)   - '10. 11. 29 : 총사업비 변경(44,277백만원 → 47,204백만원)    - '10. 11. 29 : 사업실시계획(승인) (국토해양부고시제2010-872호)    - '11. 12. 26 : 총사업비 변경(47,204백만원 → 49,708백만원)   - '12. 02. 02 : 감리 5차 착수(42백만원)   - '12. 02. 07 : 노반 6차분계약(3,050백만원)   - '12. 04. 05 : 총사업비 변경(49,708백만원 → 54,893백만원)   - '12. 11. 20 : 개통   - '12. 12. 05 : 사업실시계획변경 변경                    (사업기간 연장(2012 → 2013.0630)   - '12. 12. 21 : 총사업비 변경(54,893백만원 → 47,741백만원)     ","- '91년 노반실시설계 및 건물.전기 실시설계가 완료되었으나,     설계완료 후 현지여건 변동 및 인.허가 사항등을 고려하여      보완설계 - 총사업비 협의중 타당성 검증하여 조정완료('07.12.27) - 공사 및 감리 긴급 발주('07.11.15) - 공사 착공 및 준공(1차)('07.12.31)  o 08년 사업추진현황 - 토공 8% 추진 - 터널 220m 추진 - 용지매수 3% 추진  o '11년 사업추진현황 - 노반 공정율 : 62.3%"
14645,2006-09-29,2010-12-31,"○ 사업명 : 철도산업정보센터 구축 사업 ○ 사업목적   - 철도산업정보 공유관리체계를 구축하여 철도산업정보의 원활한     유통 및 이용의 활성화 도모   - 철도산업정보의 중복생산 방지 및 정보생성 일원화 ○ 사업범위:통합자료관리시스템, 정보연계시스템, 포탈시스템 및 DW    시스템을 구성하고, 철도산업 정보 DB구축 내용을 분석 가공하여     활용할 수 있도록 처리 ○ 총사업비 및 사업기간:총 155억(2006.10-2010.1, 39개월)    '06:10억, '07:25억, '08:27.04억, '09:92.96억(예산확보규모따라 변경) ○ 사업자: SK C&C(인공수:970MM) ○ 사업관리:한국정보시스템공인감리단(KISCA), 감리금액:1.7억   ",- ’03.7 : 철도산업발전기본법 공포 - ’03.11 : 철도산업발전기본법 시행령 및 시행규칙 공포 - ’04.12 : 철도산업정보화 부문 ISP 용역 완료 - ’05.2 : 철도산업정보센터 구축 공청회 실시 - ’05.4 : 철도산업정보센터 투자성과 평가 실시 - ’06.1 : 철도산업정보센터 세부계획수립 용역 완료 - ’06.3 : 철도산업정보센터 구축 추진협의체 구성 - ’06.10 :철도산업정보센터 구축 계약 (총체 및 차수)및 착수 - 07
21535,2006-01-01,2008-12-31,    ㅇ 사업내용 : 온양온천역～신창역 5.15km 복선전철 건설     ㅇ 사업기간 : 2006 ~ 2008년     ㅇ 총사업비 : 248억원     ㅇ 사업효과       - 경부고속철도 개통에 따른 연계(천안아산역) 수송망 구축으로         아산지역 교통 편의제공 및 충청지역경제 활성화 도모,"       - '05. 3  : 수도권전철 연장(온양온천→신창) 요청 (경찰청)        - '05. 2～5 : 수도권전철 연장 타당성 검토 (아산시, B/C 2.11)        - '05. 5    : 수도권전철 연장(온양온천→도고온천) 요청 (아산시)        - '07. 4   : 노반보완설계 완료        - '06. 4～ : 건축,전기 보완설계 시행중"
686195,2007-01-02,2019-12-31," 1. 사업내용 : 포승~평택 30.3km 단선철도 건설  2. 필  요 성 : 황해경제구역(평택,당진)등 아산만권 광역개발사업                    추진에 따른 평택항과 배후공단의 급증하는 물동량의                    효율적 처리  3. 사업기간 : 2004년 ~ 2020년 (1공구 ‘10.11.19 ~‘15.6.30)  4. 총사업비 : 686,195백만원  5. 사업효과     가. 황해경제자유구역(평택,당진) 등 아산만권 광역개발사업 추진에          따른 평택항과 배후공단의 급증하는 물동량 처리    나. 경부선, 서해선 복선전철, 장래 평택원주 복선전철 네트워크          구축 및 연계수송 체계를 확립    다. 철도수송체계의 효율성 극대화로 지역 경제발전에 기여    라. 2014년 주한미군 이전 관련 전략 물자수송"," ○ ´07. 8.12 : 타당성 및 기본계획 수립  ○ ´09. 6.19 : 포승~평택 철도건설 기본계획 고시  ○ ´09.11.23 : 실시설계 적격자 선정  ○ ´10.11.19 : 턴키1공구 공사계약 및 착수  ○ ´10.11.30 : 포승~평택 철도건설 제1공구 사업실시계획 승인  ○ ´10.12.28 : 현장사무실 준공 및 입주  ○ ´11. 2.28 : 프로젝트 수행계획서(Rev 1.0) 제정  ○ ´11. 3.25 : 착공서류(품질, 안전, 환경 등) 제출 및 승인  ○ ´11. 3.30 : 관리기준공정표(IPS 1.0) 제정  ○ ´11. 4.22 : 편입용지 1차 감정평가 완료 및 협의매수   ○ ´11. 4.22 : 건설폐기물처리 용역계약 및 착수  ○ ´11. 4.26 : 계약자통합상세공정표(CWS 1.0) 승인  ○ ´11. 5. 3 : 사후환경영향조사 용역계약 및 착수  ○ ´11. 5.20 : 하천점용허가(안성천, 진위천) 승인  ○ ´11. 5.23 : 공정만회대책(PSM 공사추진계획) 수립  ○ ´11. 5.23 : 교량하부 시공(1_2구간) 하도급 선정  ○ ´11. 6. 2 : 교포교, 창내고가 공사착수  ○ ´11. 6.23 : 프로젝트수행계획서 및 관리기준공정표 개정(Rev 1.1)  ○ ´11. 6.23 : 평택역 모양변경 단계별 시공계획 협의(철도공사)  ○ ´11. 6.27 : 건설폐기물처리계획 신고수리(평택시→철도공단)  ○ ´11. 7. 5 : 평택역 모양변경 단계별 시공계획 자료송부(철도공사)  ○ ´11. 7.15 : 계약자통합상세공정표(CWS 1.1) 개정 조건부승인  ○ ´11. 7.18 : 하도급사(교량하부) 가설사무실 축조 및 입주완료  ○ ´11. 7.31 : 안성천, 진위천 가도축조 오탁방지망  설치완료  ○ ´11. 8.23 : 강교 제작 및 설치 하도급 선정  ○ ´11. 8.31 : 교포교  및 창내고가 현장타설말뚝(RCD) 기초시공                     PSM 부지 성토완료  ○ ´11. 9.16 : 궤도공사 하도급 선정  ○ ´11. 10.5 : 평택역 모양변경 단계별(2단계 4차) 시공계획 수립  ○ ´11. 10.7 : 포승~평택 제1공구 사업실시계획변경승인(1회)  ○ ´12. 12.21 : 총사업비 조정(자율) 승인(간선철도과-2394호)     - 당초 639,763백만원 / 변경 671,779백만원 / 증 32,016백만원   ○ ´13. 04.23 : 총사업비 조정(3차, 자율) 승인(철도건설과-249호)     - 당초 671,779백만원 / 변경 695,246백만원 / 증 23,467백만원   ○ ‘17.12.14 : 총사업비 9차 변경(686,195백만원)  ○ ‘17.12.27 : 실시계획 변경 승인(면적변경)(국토부 제2017-993호)"
