발주청,공사명,공사구분,주요사업지,사업개요,노선명,공사위치,시공사,현장주소,시작일,준공일,도급액(원)
서울지방국토관리청,공도-대덕 도로확장공사 내 대림동산~내리사거리 구간 도로공사,도로,"안성시 공도읍, 안성시 대덕면","L=3.7km, 차로수(4→6차로 확장), 교량1개소",국도 38호선(서산 ~ 동해),,청우건설 주식회사,"경기도 안성시 공도읍 문터길 32, 1층 청우건설주식회사 현장사무실",,,
서울지방국토관리청,공도-대덕 도로확장공사(3구간),도로,안성시 공도읍,6차로 확장,국도 38호선(서산 ~ 동해),,광우건설(주),"경기도 안성시 공도읍 문터1길 19-1, 2층",,,
서울지방국토관리청,국도38호선 평택 오성-고덕 도로확장공사,도로,평택시 고덕면 동고리 일원,평택 오성-고덕간 도로확장공사,국도 38호선(서산 ~ 동해),,주식회사 시티,경기도 평택시 고덕면 방축리 793-4,2021-05-31,2027-04-29,80528856916 
서울지방국토관리청,국도3호선 동이천IC 도로건설공사,도로,"경기 이천, 여주",동이천IC 신설,국도 3호선(남해 ~ 초산 (철원)),,보구건설㈜,경기도 이천시 부발읍 가산리 30-4,2020-10-07,2025-09-10,21655081000 
서울지방국토관리청,국도3호선 연천-신탄리2 도로건설공사,도로,경기도 연천군,2차로 시설개량 L=6.9km,국도 3호선(남해 ~ 초산 (철원)),경기도 연천군 신서면 도신리 426-1~경기도 연천군 도신로 49-2,지오종합건설 주식회사,경기도 연천군 신서면 대광리 601-3,2020-02-25,2025-02-22,23385993000 
서울지방국토관리청,국도46호선 화도녹촌IC 병목지점 개선공사,도로,남양주시 화도읍 녹촌리 일원,"신설 교차로 연결로 2개소 및 접속도로 1식, Ramp 교량 3개소/455.0m",국도 46호선(인천 ~ 고성),,진지건설(주),"경기도 남양주시 화도읍 녹촌로 105-10, 현장사무실",2022-05-10,2025-04-23,11305627000 
서울지방국토관리청,국도48호선 한강시네폴리스 도로확장공사,도로,경기도 김포시,도로확장 등,국도 48호선(강화 ~ 서울),경기도 김포시 걸포동 931-1~경기도 김포시 향산리 129-5,(주)부강건설,경기도 김포시 고촌읍 금파로 329-10,2023-07-20,2025-08-22,26933250800 
서울지방국토관리청,도로인프라 국가성능시험장 구축사업,도로,연천군,도로인프라 국가성능시험장 구축,기타,,대신종합건설(주),경기도 연천군 연천읍 평화로 1709,,,
서울지방국토관리청,성남-장호원 도로건설공사(6-1공구),도로,"이천시, 여주시",도로 신설,국도 3호선(남해 ~ 초산 (철원)),경기도 이천시 부발읍 응암리 582-27~경기도 여주시 가남읍 은봉리 736,고운시티아이(주),경기도 이천시 대월면 대평로 557-4,2021-07-08,2027-06-06,46555335000 
서울지방국토관리청,성남-장호원(6-2공구) 도로건설공사,도로,"이천시, 여주시",국도 신설,국도 3호선(남해 ~ 초산 (철원)),여주시 가남읍 은봉리~이천시 장호원읍 풍계리,강산건설(주),경기도 이천시 장호원읍 이풍로 213,2022-06-13,2028-05-11,85603187470 
